DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Sample Origin
COLOR	#000000
FIELD_LABELS	 India	Unknown	China	Senegal	Cote d'Ivoire	Malaysia	Philippines	Brazil	Viet Nam	Puerto Rico	Mexico	Guatemala	Cuba	Haiti	Thailand	Ecuador	Nigeria	Burkina Faso	Uganda
FIELD_COLORS	 #FF0000	#FF5100	#FFA100	#FFF200	#BCFF00	#6BFF00	#1BFF00	#00FF36	#00FF86	#00FFD7	#00D7FF	#0086FF	#0036FF	#1B00FF	#6B00FF	#BC00FF	#FF00F2	#FF00A1	#FF0051
DATA
OP679003.1	#FF0000
OP679002.1	#FF0000
OF363494.1	#FF5100
OP679001.1	#FF0000
OP679000.1	#FF0000
PP453569.1	#FFA100
LY712920.1	#FF5100
LY712921.1	#FF5100
LY712919.1	#FF5100
LY712918.1	#FF5100
KF383015.1	#FFF200
KF383016.1	#FFF200
KF383018.1	#FFF200
KF383017.1	#FFF200
KF383019.1	#FFF200
KF383021.1	#FFF200
KF383020.1	#BCFF00
LC322992.1	#6BFF00
LC229347.1	#6BFF00
KY042042.1	#1BFF00
KY042041.1	#1BFF00
KY042040.1	#1BFF00
MH249063.1	#00FF36
PQ426626.1	#FF0000
KY042045.1	#00FF86
KY042044.1	#00FFD7
MH130043.1	#6BFF00
KY561343.1	#00FF36
KT381874.1	#00FF36
KU985088.1	#00D7FF
KX906954.1	#6BFF00
MH252920.1	#00FF36
KY042043.1	#0086FF
ON419461.1	#FF0000
ON419466.1	#FF0000
ON419470.1	#FF0000
ON419471.1	#FF0000
ON419479.1	#FF0000
ON419481.1	#FF0000
ON419482.1	#FF0000
MH306200.1	#00FF36
MH252919.1	#00FF36
KY042039.1	#00FF36
KR815989.1	#00FF36
KR815990.1	#00FF36
MH306201.1	#00FF36
MH306204.1	#00FF36
KR816335.1	#00FF36
MH252915.1	#00FF36
MH252918.1	#00FF36
MH252914.1	#00FF36
MH027651.1	#00FF36
MH306203.1	#00FF36
MH306202.1	#00FF36
KX173840.1	#00FF36
KX173841.1	#00FF36
MH130044.1	#6BFF00
MH130042.1	#6BFF00
KX906956.1	#6BFF00
KX173842.1	#00FF36
MH249064.1	#00FF36
KX173844.1	#00FF36
KX173843.1	#00FF36
ON337477.1	#0036FF
MT309008.1	#00D7FF
MT309007.1	#00D7FF
MT309006.1	#00D7FF
MT309005.1	#00D7FF
MT309004.1	#00D7FF
ON419487.1	#FF0000
ON419468.1	#FF0000
ON419462.1	#FF0000
ON419460.1	#FF0000
ON419459.1	#FF0000
ON419458.1	#FF0000
MH249062.1	#00FF36
ON419465.1	#FF0000
ON419467.1	#FF0000
ON419480.1	#FF0000
MT671183.1	#00D7FF
ON419463.1	#FF0000
ON419483.1	#FF0000
MG287146.1	#FF0000
ON419485.1	#FF0000
ON419486.1	#FF0000
KY561345.1	#00FF36
KY561344.1	#00FF36
MT671184.1	#00D7FF
PP825811.1	#00FF36
KX062045.1	#1B00FF
KX062044.1	#1B00FF
ON419478.1	#FF0000
ON419477.1	#FF0000
ON419476.1	#FF0000
ON419475.1	#FF0000
ON419474.1	#FF0000
ON419473.1	#FF0000
ON419472.1	#FF0000
ON419469.1	#FF0000
MH249065.1	#00FF36
MH249066.1	#00FF36
ON419464.1	#FF0000
MH249067.1	#00FF36
MN527290.1	#6B00FF
KR816336.1	#00FF36
KR816334.1	#00FF36
KR816333.1	#00FF36
ON419484.1	#FF0000
KX906955.1	#6BFF00
KX906953.1	#6BFF00
OM831154.1	#BC00FF
OM831153.1	#BC00FF
OM831152.1	#BC00FF
OM831151.1	#BC00FF
OM831150.1	#BC00FF
OM831149.1	#BC00FF
OM831148.1	#BC00FF
OM831147.1	#BC00FF
OM831146.1	#BC00FF
MF926508.1	#FF00F2
KF383025.1	#FFF200
KF383024.1	#FFF200
KF383023.1	#FFF200
KF383022.1	#FFF200
KF383027.1	#FFF200
KF383026.1	#FFF200
KF383031.1	#FFF200
KF383033.1	#FFF200
KF383032.1	#FFF200
KF383034.1	#FFF200
KF383030.1	#FF00A1
KF383029.1	#FFF200
KF383028.1	#FFF200
KF383039.1	#FFF200
KF383040.1	#BCFF00
KF383041.1	#BCFF00
KF383042.1	#BCFF00
KF383044.1	#BCFF00
KF383043.1	#BCFF00
KF383045.1	#BCFF00
KF383035.1	#FF0051
AF372422.1	#FF5100
KF383037.1	#BCFF00
KF383036.1	#BCFF00
KF383046.1	#BCFF00
KF383038.1	#BCFF00
