"m.ID","m.country"
"OP679003.1","India"
"OP679002.1","India"
"OF363494.1","Unknown"
"OP679001.1","India"
"OP679000.1","India"
"PP453569.1","China"
"LY712920.1","Unknown"
"LY712921.1","Unknown"
"LY712919.1","Unknown"
"LY712918.1","Unknown"
"KF383015.1","Senegal"
"KF383016.1","Senegal"
"KF383018.1","Senegal"
"KF383017.1","Senegal"
"KF383019.1","Senegal"
"KF383021.1","Senegal"
"KF383020.1","Cote d'Ivoire"
"LC322992.1","Malaysia"
"LC229347.1","Malaysia"
"KY042042.1","Philippines"
"KY042041.1","Philippines"
"KY042040.1","Philippines"
"MH249063.1","Brazil"
"PQ426626.1","India"
"KY042045.1","Viet Nam"
"KY042044.1","Puerto Rico"
"MH130043.1","Malaysia"
"KY561343.1","Brazil"
"KT381874.1","Brazil"
"KU985088.1","Mexico"
"KX906954.1","Malaysia"
"MH252920.1","Brazil"
"KY042043.1","Guatemala"
"ON419461.1","India"
"ON419466.1","India"
"ON419470.1","India"
"ON419471.1","India"
"ON419479.1","India"
"ON419481.1","India"
"ON419482.1","India"
"MH306200.1","Brazil"
"MH252919.1","Brazil"
"KY042039.1","Brazil"
"KR815989.1","Brazil"
"KR815990.1","Brazil"
"MH306201.1","Brazil"
"MH306204.1","Brazil"
"KR816335.1","Brazil"
"MH252915.1","Brazil"
"MH252918.1","Brazil"
"MH252914.1","Brazil"
"MH027651.1","Brazil"
"MH306203.1","Brazil"
"MH306202.1","Brazil"
"KX173840.1","Brazil"
"KX173841.1","Brazil"
"MH130044.1","Malaysia"
"MH130042.1","Malaysia"
"KX906956.1","Malaysia"
"KX173842.1","Brazil"
"MH249064.1","Brazil"
"KX173844.1","Brazil"
"KX173843.1","Brazil"
"ON337477.1","Cuba"
"MT309008.1","Mexico"
"MT309007.1","Mexico"
"MT309006.1","Mexico"
"MT309005.1","Mexico"
"MT309004.1","Mexico"
"ON419487.1","India"
"ON419468.1","India"
"ON419462.1","India"
"ON419460.1","India"
"ON419459.1","India"
"ON419458.1","India"
"MH249062.1","Brazil"
"ON419465.1","India"
"ON419467.1","India"
"ON419480.1","India"
"MT671183.1","Mexico"
"ON419463.1","India"
"ON419483.1","India"
"MG287146.1","India"
"ON419485.1","India"
"ON419486.1","India"
"KY561345.1","Brazil"
"KY561344.1","Brazil"
"MT671184.1","Mexico"
"PP825811.1","Brazil"
"KX062045.1","Haiti"
"KX062044.1","Haiti"
"ON419478.1","India"
"ON419477.1","India"
"ON419476.1","India"
"ON419475.1","India"
"ON419474.1","India"
"ON419473.1","India"
"ON419472.1","India"
"ON419469.1","India"
"MH249065.1","Brazil"
"MH249066.1","Brazil"
"ON419464.1","India"
"MH249067.1","Brazil"
"MN527290.1","Thailand"
"KR816336.1","Brazil"
"KR816334.1","Brazil"
"KR816333.1","Brazil"
"ON419484.1","India"
"KX906955.1","Malaysia"
"KX906953.1","Malaysia"
"OM831154.1","Ecuador"
"OM831153.1","Ecuador"
"OM831152.1","Ecuador"
"OM831151.1","Ecuador"
"OM831150.1","Ecuador"
"OM831149.1","Ecuador"
"OM831148.1","Ecuador"
"OM831147.1","Ecuador"
"OM831146.1","Ecuador"
"MF926508.1","Nigeria"
"KF383025.1","Senegal"
"KF383024.1","Senegal"
"KF383023.1","Senegal"
"KF383022.1","Senegal"
"KF383027.1","Senegal"
"KF383026.1","Senegal"
"KF383031.1","Senegal"
"KF383033.1","Senegal"
"KF383032.1","Senegal"
"KF383034.1","Senegal"
"KF383030.1","Burkina Faso"
"KF383029.1","Senegal"
"KF383028.1","Senegal"
"KF383039.1","Senegal"
"KF383040.1","Cote d'Ivoire"
"KF383041.1","Cote d'Ivoire"
"KF383042.1","Cote d'Ivoire"
"KF383044.1","Cote d'Ivoire"
"KF383043.1","Cote d'Ivoire"
"KF383045.1","Cote d'Ivoire"
"KF383035.1","Uganda"
"AF372422.1","Unknown"
"KF383037.1","Cote d'Ivoire"
"KF383036.1","Cote d'Ivoire"
"KF383046.1","Cote d'Ivoire"
"KF383038.1","Cote d'Ivoire"
