"m.ID","m.country"
"KT381874.1","Brazil"
"OP679003.1","India"
"OP679002.1","India"
"AF372422.1","Unknown"
"OM831154.1","Ecuador"
"OM831153.1","Ecuador"
"OM831152.1","Ecuador"
"OM831151.1","Ecuador"
"OM831150.1","Ecuador"
"OM831149.1","Ecuador"
"OM831148.1","Ecuador"
"OM831147.1","Ecuador"
"OM831146.1","Ecuador"
"PQ426626.1","India"
"MT671183.1","Mexico"
"OP679001.1","India"
"OP679000.1","India"
"MT671184.1","Mexico"
"KR816335.1","Brazil"
"KR816336.1","Brazil"
"KR816334.1","Brazil"
"KR816333.1","Brazil"
"MN527290.1","Thailand"
"PP825811.1","Brazil"
"ON337477.1","Cuba"
"MT309008.1","Mexico"
"MT309007.1","Mexico"
"MT309006.1","Mexico"
"MT309005.1","Mexico"
"MT309004.1","Mexico"
